org,ticker_count,ticker,cmc_name
0xproject,1,ZRX,0x
aave,1,AAVE,aave
aelfproject,1,ELF,aelf
algorand,1,ALGO,algorand
alphafinancelab,1,ALPHA,alpha-finance-lab
amptoken,1,AMP,amp
ankr-network,1,ANKR,ankr
arkecosystem,1,ARK,ark
arweaveteam,1,AR,arweave
augurproject,1,REP,augur
bakeryproject,1,BAKE,bakerytoken
bancorprotocol,1,BNT,bancor
bandprotocol,1,BAND,band-protocol
bitcoin,2,BTC,bitcoin
bitcoin-abc,1,XEC,ecash
bitcoin-sv,1,BSV,bitcoin-sv
bittorrent,1,BTT,bittorrent
blockstack,1,STX,stacks
btcgpu,1,BTG,bitcoin-gold
cartesi,1,CTSI,cartesi
casperlabs,1,CSPR,casper
celer-network,1,CELR,celer-network
celo-org,1,CELO,celo
celsiusnetwork,1,CEL,celsius
chia-network,0,XCH,chia-network
compound-finance,1,COMP,compound
conflux-chain,1,CFX,conflux-network
constellation-labs,1,DAG,constellation
cosmos,1,ATOM,cosmos
coti-io,1,COTI,coti
curvefi,1,CRV,curve-dao-token
dashpay,1,DASH,dash
decentraland,1,MANA,decentraland
decred,1,DCR,decred
deroproject,1,DERO,dero
dfinity,1,ICP,internet-computer
digibyte-core,1,DGB,digibyte
dogecoin,1,DOGE,dogecoin
dydxfoundation,1,DYDX,dydx
dydxprotocol,0,DYDX,dydx
elrondnetwork,1,EGLD,elrond-egld
energywebfoundation,1,EWT,energy-web-token
enjin,1,ENJ,enjin-coin
enzymefinance,1,MLN,enzyme
eosio,1,EOS,eos
ethereum,1,ETH,ethereum
ethereumclassic,1,ETC,ethereum-classic
eveybcd,1,BCD,bitcoin-diamond
fantom-foundation,1,FTM,fantom
fei-protocol,1,FEI,fei-protocol
fetchai,1,FET,fetch
gatechain,1,GT,gatetoken
gnosis,0,GNO,gnosis-gno
golemfactory,1,GLM,golem-network-tokens
graphprotocol,1,GRT,the-graph
harmony-one,1,ONE,harmony
hashgraph,1,HBAR,hedera-hashgraph
helium,1,HNT,helium
holochain,1,HOT,holo
horizenofficial,1,ZEN,horizen
icon-project,1,ICX,icon
iexecblockchaincomputing,1,RLC,rlc
immutable,0,IMX,immutable-x
injectivelabs,1,INJ,injective-protocol
input-output-hk,0,ADA,cardano
iotaledger,1,MIOTA,iota
iotexproject,1,IOTX,iotex
kava-labs,1,KAVA,kava
klaytn,1,KLAY,klaytn
kusamanetwork,1,KSM,kusama
liskhq,1,LSK,lisk
litecoin-project,1,LTC,litecoin
livepeer,1,LPT,livepeer
loopring,1,LRC,loopring
maidsafe,1,MAID,maidsafecoin
makerdao,0,MKR,maker
maticnetwork,1,MATIC,polygon
medibloc,1,MED,medibloc
minaprotocol,1,MINA,mina
monero-project,1,XMR,monero
nanocurrency,1,NANO,nano
nearprotocol,1,NEAR,near-protocol
nemproject,0,XEM,nem
neo-project,1,NEO,neo
nervosnetwork,1,CKB,nervos-network
nexofinance,1,NEXO,nexo
nknorg,1,NKN,nkn
nucypher,1,NU,nucypher
numerai,1,NMR,numeraire
oasisprotocol,1,ROSE,oasis-network
oceanprotocol,1,OCEAN,ocean-protocol
omgnetwork,1,OMG,omg
onflow,1,FLOW,flow
ontio,1,ONT,ontology
openhive-network,1,HIVE,hive-blockchain
orbs-network,1,ORBS,orbs
orchidtechnologies,1,OXT,orchid
originprotocol,1,OGN,origin-protocol
pancakeswap,1,CAKE,pancakeswap
phala-network,1,PHA,phala-network
polymathnetwork,1,POLY,polymath-network
project-serum,1,SRM,serum
qtumproject,1,QTUM,qtum
quantnetwork,1,QNT,quant
raiden-network,0,RDN,raiden-network-token
ravenproject,1,RVN,ravencoin
reef-defi,1,REEF,reef
requestnetwork,1,REQ,request
reserve-protocol,1,RSR,reserve-rights
revain,1,REV,revain
ripple,1,XRP,xrp
rocket-pool,0,RPL,rocket-pool
singnet,1,AGIX,singularitynet
skalenetwork,1,SKL,skale-network
smartcontractkit,1,LINK,chainlink
solana-labs,1,SOL,solana
status-im,1,SNT,status
steemit,1,STEEM,steem
stellar,1,XLM,stellar
storj,1,STORJ,storj
stormxio,0,STMX,stormx
stratisproject,1,STRAX,stratis
sushiswap,1,SUSHI,sushiswap
swissborg,1,CHSB,swissborg
synthetixio,0,SNX,synthetix-network-token
syscoin,0,SYS,syscoin
telcoin,1,TEL,telcoin
thorchain,1,RUNE,thorchain
tomochain,1,TOMO,tomochain
tronprotocol,1,TRX,tron
trusttoken,1,TUSD,trueusd
umaprotocol,1,UMA,uma
uniswap,0,UNI,uniswap
vechain,1,VTHO,vethor-token
vergecurrency,1,XVG,verge
w3f,1,DOT,polkadot-new
wavesplatform,1,WAVES,waves
worldwide-asset-exchange,1,WAXP,wax
xinfinorg,1,XDC,xinfin
xyoraclenetwork,1,XYO,xyo
zcash,1,ZEC,zcash
zilliqa,1,ZIL,zilliqa
